 ,,,,,,,,Graphs,,,,,,,
DATE (Thursday is the last day of that weeks calculation - they go from Friday to Thursday),TOTAL BOXES,BASIC BOXES,FAMILY BOXES,ZONE 1,ZONE 2,ZONE 3,Revenue,Month,Zone 1,Zone 2,Zone 3,,Month,Total Boxes,Revenue
FY 17-18,2770,2202,537,388,346,2052,"$54,549.33 ",15-Sep,61,21,202,,1/1/2015,239,"$7,337.00 "
YTD,3264,2587,646,467,413,2400,"$65,951.51 ",15-Oct,51,5,227,,2/1/2015,290,"$11,210.50 "
December,,,,,,,,15-Nov,58,16,222,,3/1/2015,246,"$7,755.50 "
12/25/2017,,,,,,,,15-Dec,45,14,192,,4/1/2015,376,"$6,684.00 "
12/18/2017,,,,,,,,16-Jan,25,6,138,,5/1/2015,368,"$6,231.50 "
12/11/2017,,,,,,,,16-Feb,112,8,184,,06/2015,217,"$3,190.00 "
12/4/2017,,,,,,,,16-Mar,57,18,234,,07/2015,151,"$3,742.00 "
November,265,185,49,38,24,218,"$4,881.63 ",16-Apr,65,21,252,,08/2015,175,"$4,366.98 "
11/27/2017,60,8,6,8,6,46,,16-May,65,21,252,,09/2015,303,"$7,351.88 "
11/20/2017,60,61,14,10,6,59,,16-Jun,100,40,253,,10/2015,283,"$6,367.80 "
11/13/2017,75,61,14,10,6,59,,16-Jul,96,40,208,,11/2015,296,"$5,031.54 "
11/6/2017,70,55,15,10,6,54,,16-Aug,79,35,215,,12/2015,271,"$5,345.14 "
October,339,270,69,34,44,260,"$6,238.25 ",Month,Zone 1,Zone 2,Zone 3,,01/2016,169,"$6,253.00 "
10/30/2017,70,55,15,10,6,54,,16-Sep,47,64,131,,02/2016,304,"$7,107.28 "
10/23/2017,64,51,13,9,6,49,,16-Oct,44,87,183,,03/2016,309,"$7,453.00 "
10/16/2017,69,56,13,4,11,53,,16-Nov,49,49,203,,04/2016,338,"$7,080.25 "
10/9/2017,65,55,10,4,10,51,,16-Dec,31,37,150,,05/2016,380,"$8,550.58 "
10/2/2017,71,53,18,7,11,53,,17-Jan,35,39,147,,06/2016,392,"$5,196.20 "
September,276,212,64,27,46,204,"$5,682.19 ",17-Feb,44,28,201,,07/2016,343,"$5,042.20 "
9/28/2017,71,55,16,7,13,51,,17-Mar,44,37,204,,08/2016,332,"$5,514.30 "
9/21/2017,78,61,17,6,14,58,,17-Apr,42,30,195,,Month,Total Boxes,Revenue
9/14/2017,70,55,15,5,12,54,,17-May,55,36,231,,09/2016,244,"$4,675.80 "
9/7/2017,57,41,16,9,7,41,,17-Jun,52,40,219,,10/2016,311,"$6,676.03 "
August,256,196,60,25,37,194,"$5,522.51 ",17-Jul,36,26,195,,11/2016,301,"$4,819.50 "
8/31/2017,66,47,19,7,9,50,,17-Aug,25,37,194,,12/2016,218,"$5,937.65 "
8/24/2017,56,43,13,4,9,43,,17-Sep,27,46,204,,1/2017,221,"$5,228.64 "
8/17/2017,67,52,15,4,13,50,,17-Oct,34,44,260,,2/2017,273,"$6,173.54 "
8/10/2017,67,54,13,10,6,51,,17-Nov,38,24,218,,3/2017,285,"$5,635.75 "
July,310,253,57,47,31,233,"$6,267.40 ",,,,,,4/2017,267,"$5,907.50 "
8/3/2017,53,42,11,11,5,38,,,,,,,5/2017,403,"$7,584.00 "
7/27/2017,61,50,11,9,6,46,,,,,,,6/2017,311,"$6,830.10 "
7/20/2017,67,55,12,10,7,50,,,,,,,7/2017,257,"$6,267.40 "
7/13/2017,66,53,13,9,6,51,,,,,,,8/2017,256,"$5,522.51 "
7/6/2017,63,53,10,8,7,48,,,,,,,9/2017,276,"$5,682.19 "
June,311,252,59,52,40,219,"$6,830.10 ",,,,,,10/2017,339,"$6,238.25 "
6/29/2017,71,58,13,11,7,53,,,,,,,11/1/2017,265,"$4,881.63 "
6/22/2017,76,60,16,12,13,51,,,,,,,,,
6/15/2017,79,63,16,15,10,54,,,,,,,,,
6/8/2017,85,71,14,14,10,61,,,,,,,,,
May,403,326,77,69,45,289,"$7,584.00 ",,,,,,,,
6/1/2017,81,62,19,14,9,58,,,,,,,,,
5/25/2017,80,67,13,12,9,59,,,,,,,,,
5/18/2017,87,70,17,13,11,63,,,,,,,,,
5/11/2017,72,57,15,15,9,48,,,,,,,,,
5/4/2017,83,70,13,15,7,61,,,,,,,,,
April,267,225,42,42,30,195,"$5,907.50 ",,,,,,,,
4/27/2017,63,54,9,9,5,49,,,,,,,,,
4/20/2017,63,52,11,11,5,47,,,,,,,,,
4/13/2017,74,63,11,11,11,52,,,,,,,,,
4/6/2017,67,56,11,11,9,47,,,,,,,,,
March,343,283,60,54,49,240,"$5,635.75 ",,,,,,,,
3/30/2017,58,49,9,10,12,36,,,,,,,,,
3/23/2017,67,56,11,10,10,47,,,,,,,,,
3/16/2017,74,63,11,10,10,54,,,,,,,,,
3/9/2017,76,60,16,13,9,54,,,,,,,,,
3/2/2017,68,55,13,11,8,49,,,,,,,,,
FY 16-17,3586,2800,773,702,491,2393,"$79,454.97 ",,,,,,,,
February,273,215,58,44,28,201,"$6,173.54 ",,,,,,,,
2/27/2017,63,51,12,10,7,46,,,,,,,,,
2/20/2017,73,57,16,11,8,54,,,,,,,,,
2/13/2017,70,55,15,11,6,53,,,,,,,,,
2/6/2017,67,52,15,12,7,48,,,,,,,,,
January,221,170,51,35,39,147,"$5,228.64 ",,,,,,,,
1/30/2017,72,55,17,12,10,50,,,,,,,,,
1/23/2017,73,56,17,10,14,49,,,,,,,,,
1/16/2017,76,59,17,13,15,48,,,,,,,,,
1/9/2017,0,0,0,0,0,0,,,,,,,,,
2016,3641,2852,776,774,442,2425,"$74,613.84 ",,,,,,,,
12/28/2016,60,49,10,9,8,43,,,,,,,,,
12/21/2016,79,59,19,12,14,53,,,,,,,,,
12/14/2016,79,59,20,10,15,54,,,,,,,,,
12/6/2016,0,0,0,0,0,0,,,,,,,,,
11/30/2016,73,55,18,11,8,54,,,,,,,,,
11/23/2016,80,60,20,13,15,52,,,,,,,,,
11/16/2016,79,59,20,13,14,52,,,,,,,,,
11/9/2016,69,52,17,12,12,45,,,,,,,,,
11/2/2016,77,58,19,13,20,47,,,,,,,,,
10/26/2016,81,59,22,9,20,52,,,,,,,,,
10/19/2016,74,53,21,9,23,42,,,,,,,,,
10/12/2016,79,62,17,13,24,42,,,,,,,,,
10/5/2016,62,48,14,12,17,33,,,,,,,,,
9/28/2016,63,50,13,12,16,35,,,,,,,,,
9/21/2016,60,43,17,10,15,33,,,,,,,,,
9/14/2016,59,42,17,13,16,30,,,,,,,,,
9/7/2016,67,48,19,17,10,40,,,,,,,,,
8/31/2016,70,51,19,15,6,49,,,,,,,,,
8/24/2016,60,46,14,14,3,40,,,,,,,,,
8/17/2016,67,54,13,16,9,42,,,,,,,,,
8/10/2016,68,55,13,17,7,44,,,,,,,,,
8/3/2016,70,59,11,15,11,44,,,,,,,,,
7/27/2016,62,50,12,20,7,35,,,,,,,,,
7/20/2016,76,62,14,23,6,48,,,,,,,,,
7/13/2016,67,54,13,19,10,38,,,,,,,,,
7/6/2016,68,52,16,19,6,43,,,,,,,,,
6/29/2016,68,51,17,21,10,37,,,,,,,,,
6/22/2016,77,61,16,24,5,48,,,,,,,,,
6/15/2016,86,67,16,20,8,58,,,,,,,,,
6/8/2016,71,58,13,17,6,48,,,,,,,,,
6/1/2016,90,69,18,18,11,62,,,,,,,,,
5/25/2016,101,73,23,18,13,70,,,,,,,,,
5/18/2016,91,73,18,17,7,67,,,,,,,,,
5/11/2016,98,81,17,17,12,69,,,,,,,,,
5/4/2016,90,70,20,17,5,68,,,,,,,,,
4/27/2016,86,72,14,17,4,65,,,,,,,,,
4/20/2016,92,77,15,15,7,70,,,,,,,,,
4/13/2016,77,62,15,16,6,55,,,,,,,,,
4/6/2016,83,71,12,17,4,62,,,,,,,,,
3/30/2016,76,61,15,15,3,58,,,,,,,,,
3/16/2016,84,71,13,14,6,64,,,,,,,,,
3/9/2016,73,59,14,14,5,54,,,,,,,,,
