WEEKLY,,,,,,,,,,MONTHLY,,,,,,,,
MARKET CUSTOMERS,,,,,,,,,,MARKET CUSTOMERS,,,,,,,,
DATE,ZONE 1,Zone 1 Sales,Outside,Zone 2,Zone 2 Sales,Zone 3,Zone 3 Sales,TOTAL Sales,Revenue,Month ,TOTAL,Revenue,,Month,Zone 1,Zone 2,Zone 3,Total
FY 17-18,2531,,3276,1732,,1544,,5780,"$53,624.76 ",1/1/2015,310,"$2,770.16 ",,16-May,265,134,153,552
YTD,2767,,3603,1948,,1655,,6337,"$63,385.82 ",2/1/2015,317,"$2,267.00 ",,16-Jun,347,94,112,553
December,,,,,,,,,,3/1/2015,413,"$2,980.97 ",,16-Jul,353,121,114,588
12/31/2017,,,,,,,,,,4/1/2015,409,"$3,122.98 ",,16-Aug,390,163,106,659
12/24/2017,,,,,,,,,,5/1/2015,340,"$2,797.91 ",,Month,Zone 1,Zone 2,Zone 3,Total
12/17/2017,,,,,,,,,,,,,,16-Sep,298,130,96,524
12/10/2017,,,,,,,,,,6/1/2015,333,"$2,458.81 ",,16-Oct,277,130,147,554
November,366,2980.03,321,215,1988.56,106,1566.7,687,"$5,762.73 ",7/1/2015,291,"$2,188.75 ",,16-Nov,278,136,70,484
12/3/2017,87,550.6,69,48,350.66,21,462.47,156,,8/1/2015,330,"$2,205.30 ",,16-Dec,230,123,65,418
11/26/2017,63,624.15,25,15,394.28,10,116.78,88,,9/1/2015,297,"$1,821.77 ",,17-Jan,139,132,47,318
11/19/2017,63,546.42,79,58,514.94,21,370.56,142,,10/1/2015,397,"$3,054.37 ",,17-Feb,97,84,64,245
11/12/2017,91,775.89,63,37,265.14,26,252.48,154,,11/1/2015,380,"$2,157.15 ",,17-Mar,217,150,300,667
11/5/2017,62,482.97,85,57,463.54,28,364.41,147,,12/1/2015,263,"$2,514.43 ",,17-Apr,246,128,279,653
October,230,2015.15,259,162,1457.89,97,2689.93,489,"$5,426.57 ",1/1/2016,318,"$2,557.86 ",,17-May,292,169,246,707
10/29/2017,62,403.49,66,42,339.29,24,434.55,128,,2/1/2016,397,"$4,203.15 ",,17-Jun,266,196,116,578
10/22/2017,64,579.92,69,35,372.42,34,1536.82,133,,3/1/2016,527,"$4,886.01 ",,17-Jul,314,207,165,686
10/15/2017,52,422.94,52,41,260.7,11,170.44,104,,4/1/2016,556,"$5,126.29 ",,17-Aug,303,287,113,703
10/8/2017,52,608.8,72,44,485.48,28,548.12,124,,5/1/2016,552,"$4,858.24 ",,17-Sep,241,202,96,539
September,241,2337.72,298,202,2042.79,96,1444.37,539,"$5,953.19 ",6/1/2016,553,"$6,003.12 ",,17-Oct,230,162,97,489
